구분,행정구역코드,1단계,2단계,그룹 단계,격자 X,격자 Y,경도(초/100),위도(초/100),포함 행 수
kor,1111000000,서울특별시,종로구,2단계,61,127,126.9916319444,37.5852041667,17
kor,1114000000,서울특별시,중구,2단계,61,127,126.9952833333,37.5571611111,15
kor,1117000000,서울특별시,용산구,2단계,60,126,126.9781111111,37.5317430556,16
kor,1120000000,서울특별시,성동구,2단계,61,127,127.0425856667,37.5522285889,17
kor,1121500000,서울특별시,광진구,2단계,62,127,127.0862805556,37.5459583333,15
kor,1123000000,서울특별시,동대문구,2단계,61,127,127.0505223331,37.5799930556,15
kor,1126000000,서울특별시,중랑구,2단계,62,128,127.0927430556,37.5907194444,16
kor,1129000000,서울특별시,성북구,2단계,61,128,127.0348027778,37.5956805556,20
kor,1130500000,서울특별시,강북구,2단계,61,128,127.0307277778,37.6292777778,13
kor,1132000000,서울특별시,도봉구,2단계,61,129,127.0409222222,37.6555444444,14
kor,1135000000,서울특별시,노원구,2단계,62,129,127.0692194444,37.6472111111,19
kor,1138000000,서울특별시,은평구,2단계,59,128,126.9182430556,37.6084791667,16
kor,1141000000,서울특별시,서대문구,2단계,60,127,126.9350763889,37.5745916667,14
kor,1144000000,서울특별시,마포구,2단계,59,127,126.92945,37.5552069444,16
kor,1147000000,서울특별시,양천구,2단계,58,126,126.8550986111,37.5274763889,18
kor,1150000000,서울특별시,강서구,2단계,58,127,126.8409375,37.5518430556,20
kor,1153000000,서울특별시,구로구,2단계,58,125,126.8532008056,37.4914791667,16
kor,1154500000,서울특별시,금천구,2단계,59,125,126.9063194444,37.4558222222,10
kor,1156000000,서울특별시,영등포구,2단계,59,126,126.9135208333,37.5124625,18
kor,1159000000,서울특별시,동작구,2단계,60,125,126.9458083333,37.4915458333,15
kor,1162000000,서울특별시,관악구,2단계,60,125,126.9439102278,37.4755267,21
kor,1165000000,서울특별시,서초구,2단계,61,125,127.0205111111,37.4856166667,18
kor,1168000000,서울특별시,강남구,2단계,62,126,127.0671930556,37.4985043333,22
kor,1171000000,서울특별시,송파구,2단계,63,126,127.1156111111,37.5072064611,27
kor,1174000000,서울특별시,강동구,2단계,63,127,127.1516541667,37.5437319444,19
kor,1211000000,전남광주통합특별시,목포시,2단계,51,67,126.4095398056,34.8050402778,23
kor,1213000000,전남광주통합특별시,여수시,2단계,71,59,127.5413708333,34.4506555556,27
kor,1215000000,전남광주통합특별시,순천시,2단계,68,71,127.3885111111,34.98475,24
kor,1217000000,전남광주통합특별시,나주시,2단계,56,71,126.7056875,34.9867958333,20
kor,1219000000,전남광주통합특별시,광양시,2단계,73,72,127.6717222222,35.0273972222,12
kor,1221000000,전남광주통합특별시,동구,2단계,60,74,126.9287888889,35.1357541667,13
kor,1224000000,전남광주통합특별시,서구,2단계,59,74,126.8675972222,35.1413630556,18
kor,1227000000,전남광주통합특별시,남구,2단계,59,74,126.8800666667,35.1113652778,17
kor,1230000000,전남광주통합특별시,북구,2단계,59,75,126.9074787333,35.1871125,27
kor,1233000000,전남광주통합특별시,광산구,2단계,57,75,126.7725416667,35.1572861111,21
kor,1271000000,전남광주통합특별시,담양군,2단계,61,77,126.9646055556,35.2681583333,12
kor,1272000000,전남광주통합특별시,곡성군,2단계,65,76,127.2335416667,35.2058791667,11
kor,1273000000,전남광주통합특별시,구례군,2단계,70,77,127.4891,35.2439458333,8
kor,1274000000,전남광주통합특별시,고흥군,2단계,66,63,127.2982805556,34.6161291667,16
kor,1275000000,전남광주통합특별시,보성군,2단계,64,67,127.1830986111,34.7959347222,12
kor,1276000000,전남광주통합특별시,화순군,2단계,61,72,127.0166375,35.01915,13
kor,1277000000,전남광주통합특별시,장흥군,2단계,60,63,126.9192638889,34.6388055556,10
kor,1278000000,전남광주통합특별시,강진군,2단계,57,62,126.7660694444,34.5946402778,11
kor,1279000000,전남광주통합특별시,해남군,2단계,52,61,126.4943541667,34.5170972222,14
kor,1280000000,전남광주통합특별시,영암군,2단계,54,66,126.6111166667,34.7916916667,11
kor,1281000000,전남광주통합특별시,무안군,2단계,50,70,126.400325,34.9637138889,9
kor,1282000000,전남광주통합특별시,함평군,2단계,53,73,126.5340541667,35.0923013889,9
kor,1283000000,전남광주통합특별시,영광군,2단계,49,77,126.3595777778,35.2958916667,11
kor,1284000000,전남광주통합특별시,장성군,2단계,57,78,126.7651208333,35.3273902778,11
kor,1285000000,전남광주통합특별시,완도군,2단계,58,56,126.8214375,34.2963333333,12
kor,1286000000,전남광주통합특별시,진도군,2단계,47,58,126.1970486111,34.4016152778,7
kor,1287000000,전남광주통합특별시,신안군,2단계,41,68,125.8728375,34.8315694444,14
kor,2611000000,부산광역시,중구,2단계,97,74,129.0326055556,35.1014069444,9
kor,2614000000,부산광역시,서구,2단계,97,74,129.0198763889,35.0964888889,13
kor,2617000000,부산광역시,동구,2단계,98,75,129.0493652778,35.123575,12
kor,2620000000,부산광역시,영도구,2단계,98,74,129.0613875,35.0792875,11
kor,2623000000,부산광역시,부산진구,2단계,98,76,129.0498388889,35.1586652778,20
kor,2626000000,부산광역시,동래구,2단계,98,77,129.0857388889,35.2049708333,13
kor,2629000000,부산광역시,남구,2단계,99,75,129.0933416667,35.1261833333,17
kor,2632000000,부산광역시,북구,2단계,97,77,129.0198555556,35.2193819444,13
kor,2635000000,부산광역시,해운대구,2단계,100,76,129.1626208333,35.1922805556,18
kor,2638000000,부산광역시,사하구,2단계,97,74,128.9866166667,35.0837680556,16
kor,2641000000,부산광역시,금정구,2단계,98,77,129.0869694444,35.2524944444,16
kor,2644000000,부산광역시,강서구,2단계,95,75,128.8984444444,35.1320402778,9
kor,2647000000,부산광역시,연제구,2단계,98,76,129.0886097222,35.1809944444,12
kor,2650000000,부산광역시,수영구,2단계,99,76,129.1154597222,35.1558638889,10
kor,2653000000,부산광역시,사상구,2단계,97,76,128.9935888889,35.1550680556,12
kor,2671000000,부산광역시,기장군,2단계,100,78,129.1991555556,35.2789888889,5
kor,2711000000,대구광역시,중구,2단계,89,91,128.5953055556,35.8624083333,12
kor,2714000000,대구광역시,동구,2단계,90,91,128.6694814167,35.9021708333,22
kor,2717000000,대구광역시,서구,2단계,88,91,128.5617263889,35.8713555556,17
kor,2720000000,대구광역시,남구,2단계,89,90,128.5829708333,35.8421986111,13
kor,2723000000,대구광역시,북구,2단계,89,92,128.5868888889,35.9121197056,23
kor,2726000000,대구광역시,수성구,2단계,90,90,128.6637708333,35.8411791667,23
kor,2729000000,대구광역시,달서구,2단계,88,90,128.5366212222,35.83025,23
kor,2771000000,대구광역시,달성군,2단계,88,89,128.5201777778,35.7768541667,9
kor,2772000000,대구광역시,군위군,2단계,89,97,128.6345541667,36.1749069444,8
kor,2812500000,인천광역시,제물포구,2단계,54,125,126.6293111111,37.466,18
kor,2815500000,인천광역시,영종구,2단계,52,125,126.4866008,37.4701765872,6
kor,2817700000,인천광역시,미추홀구,2단계,55,125,126.6706652778,37.4512034778,21
kor,2818500000,인천광역시,연수구,2단계,55,124,126.6633307778,37.4031027778,15
kor,2820000000,인천광역시,남동구,2단계,56,124,126.7255975667,37.4326208333,20
kor,2823700000,인천광역시,부평구,2단계,56,126,126.7235888889,37.4933138889,22
kor,2824500000,인천광역시,계양구,2단계,56,127,126.7361319444,37.5481680556,12
kor,2827500000,인천광역시,서해구,2단계,55,126,126.6582394389,37.5231416667,16
kor,2829000000,인천광역시,검단구,2단계,55,128,126.6763925027,37.5998108129,8
kor,2871000000,인천광역시,강화군,2단계,49,130,126.3676375,37.7123666667,13
kor,2872000000,인천광역시,옹진군,2단계,36,127,125.6000055556,37.5988784778,7
kor,3011000000,대전광역시,동구,2단계,69,100,127.4584646278,36.3168652778,16
kor,3014000000,대전광역시,중구,2단계,68,100,127.4163763889,36.3206699656,17
kor,3017000000,대전광역시,서구,2단계,67,100,127.3686114111,36.3087791667,24
kor,3020000000,대전광역시,유성구,2단계,67,101,127.3552132778,36.3671597222,13
kor,3023000000,대전광역시,대덕구,2단계,68,102,127.4319986111,36.3998111111,12
kor,3111000000,울산광역시,중구,2단계,102,85,129.3134222222,35.5640430556,12
kor,3114000000,울산광역시,남구,2단계,102,84,129.3021430556,35.5288916667,14
kor,3117000000,울산광역시,동구,2단계,104,84,129.4272666667,35.5129597222,9
kor,3120000000,울산광역시,북구,2단계,103,85,129.3962930556,35.5795291667,8
kor,3171000000,울산광역시,울주군,2단계,100,83,129.2110152778,35.4986944444,12
kor,3600000000,세종특별자치시,세종특별자치시,1단계,65,106,127.26431425,36.59307175,24
kor,4111100000,경기도,수원시장안구,2단계,61,121,126.9986222222,37.2966513889,10
kor,4111300000,경기도,수원시권선구,2단계,60,121,126.9945783,37.2654041667,12
kor,4111500000,경기도,수원시팔달구,2단계,61,121,127.0191041667,37.2741083333,10
kor,4111700000,경기도,수원시영통구,2단계,62,121,127.0626041667,37.2650123278,12
kor,4113100000,경기도,성남시수정구,2단계,63,125,127.1333763889,37.4437246944,17
kor,4113300000,경기도,성남시중원구,2단계,63,124,127.1522638889,37.4352458333,11
kor,4113500000,경기도,성남시분당구,2단계,63,123,127.1101944444,37.3729847222,22
kor,4115000000,경기도,의정부시,2단계,62,131,127.0711652,37.7332777778,15
kor,4117100000,경기도,안양시만안구,2단계,59,123,126.9186981778,37.3990916667,14
kor,4117300000,경기도,안양시동안구,2단계,60,123,126.9556597222,37.3854042611,17
kor,4119200000,경기도,부천시원미구,2단계,57,126,126.7838628,37.50107066,20
kor,4119400000,경기도,부천시소사구,2단계,57,125,126.78933535,37.475490455,10
kor,4119600000,경기도,부천시오정구,2단계,57,126,126.7990876,37.52306687,7
kor,4121000000,경기도,광명시,2단계,58,124,126.8683861111,37.4504416667,19
kor,4122000000,경기도,평택시,2단계,61,116,127.0102634278,37.0338861111,25
kor,4125000000,경기도,동두천시,2단계,61,135,127.0575097222,37.9071291667,8
kor,4127100000,경기도,안산시상록구,2단계,58,122,126.8621897778,37.3226541667,13
kor,4127300000,경기도,안산시단원구,2단계,55,121,126.7124535556,37.2915361111,12
kor,4128100000,경기도,고양시덕양구,2단계,58,129,126.8710486111,37.6416041667,21
